Id,Label,timeset,0,1,2,3,4,5,6,componentnumber,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,dynamic_indegree,dynamic_outdegree,dynamic_degree
4130,troyty84.bsky.social,,18,-171.448624,178.759415,2,0,1,"rgb(148,148,148)",0,1,2,3,1,2,3,10,0.217182,0.233036,0,0,0.000382,0.000042,3692,29,1,0.5,0.001123,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4132,buitre82.bsky.social,,18,-171.953598,176.434677,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3693,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4133,rednegado.bsky.social,,18,-174.293701,177.916794,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3694,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4134,jesuslamascarreira.bsky.social,,18,-170.720123,175.831818,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3695,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4135,eg0mania.bsky.social,,18,196.771744,170.827057,2,0,2,"rgb(148,148,148)",0,0,2,2,0,3,3,10,0.223426,0.243226,5666.80138,0,0.000715,0.000042,3696,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4136,pmsan21.bsky.social,,18,-173.164948,179.616516,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3697,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4137,jmperez64.bsky.social,,18,-172.841232,178.313171,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,10,0.217182,0.233036,0,0,0.000382,0.000042,3698,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4138,gencideet.bsky.social,,7,119.534111,-40.092403,2,0,4,"rgb(251,175,228)",0,0,4,4,0,6,6,10,0.228202,0.250985,35744.55625,0,0.002194,0.000042,3699,8,1,0.083333,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4140,jjpantene.bsky.social,,18,-170.023453,180.393356,2,0,1,"rgb(148,148,148)",0,0,1,1,0,1,1,11,0.178472,0.187005,0,0,0,0.000042,3700,29,1,0,0,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
4145,lagalga.bsky.social,,18,-172.345474,176.150818,2,0,1,"rgb(148,148,148)",0,1,2,3,1,2,3,10,0.217182,0.233036,0,0,0.000382,0.000042,3701,29,1,0.5,0.001123,"<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>","<[2024-10-01, 2024-10-02, 0]; [2024-10-02, 2024-10-03, 0]; [2024-10-03, 2024-10-04, 0]; [2024-10-04, 2024-10-05, 0]>"
