Source,Target,Type,Id,Label,Weight,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,26,Directed,50,,1,2024-11-20,"<[2024-11-20, 2024-11-20]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbeu53jnuk2m,0,0,0,0,0,0,0,0,bueno y OJO a esta alegría editorial de la mano de nuestro comentarista del amor favorito 💘,quoted,48
0,27,Directed,51,,1,2024-11-18,"<[2024-11-18, 2024-11-18]>",https://bsky.app/profile/punzadas.bsky.social/post/3lbb3klfvms2c,0,0,0,0,0,0,0,0,Claro!!! Saldrá como episodio de podcast normal :),replied_to,49
0,28,Directed,52,,1,2024-11-18,"<[2024-11-18, 2024-11-18]>",https://bsky.app/profile/punzadas.bsky.social/post/3lb7u4dicl22r,0,0,0,0,0,0,0,0,🤙🏼🤙🏼🤙🏼,quoted,50
0,29,Directed,53,,1,2024-11-18,"<[2024-11-18, 2024-11-18]>",https://bsky.app/profile/punzadas.bsky.social/post/3lb7u3xjwak2r,0,0,0,0,0,0,0,0,Ooooohhh jo. Sabemos que no es lo mismo pero se podrá escuchar 💔,replied_to,51
3,3,Directed,54,,11,2025-01-09,"<[2025-01-09, 2025-01-09]>",https://bsky.app/profile/radioprimavera.bsky.social/post/3lfcesx2xrc2s,0,0,0,0,0,0,0,0,open.spotify.com/episode/5Tnz...,replied_to,681
5,140,Directed,65,,1,2025-02-12,"<[2025-02-12, 2025-02-12]>",https://bsky.app/profile/aitormarcos.bsky.social/post/3lhzax4md4c2k,0,0,0,0,0,0,0,0,Zorionak! Merecidísimo 👏,replied_to,6326
8,0,Directed,66,,1,2025-03-04,"<[2025-03-04, 2025-03-04]>",https://bsky.app/profile/antoniocarralon.bsky.social/post/3ljkptx7bvs2u,0,0,0,0,0,0,0,0,"Un episodio genial, como siempre.
De Baricco y del agua, os recomiendo esta maravilla.",replied_to,669
10,0,Directed,67,,1,2025-02-20,"<[2025-02-20, 2025-02-20]>",https://bsky.app/profile/vanderlyles.bsky.social/post/3limbahr66c2a,0,0,0,0,0,0,0,0,no puedo gestionar sentimentalmente esto ahora chicas,quoted,671
11,0,Directed,68,,1,2025-02-20,"<[2025-02-20, 2025-02-20]>",https://bsky.app/profile/kaaarenaguilar.bsky.social/post/3lilzj3oxic2h,0,0,0,0,0,0,0,0,"me estáis hablando a mi,,, esto es muy fuerte!",replied_to,676
12,0,Directed,69,,1,2025-02-20,"<[2025-02-20, 2025-02-20]>",https://bsky.app/profile/gudrun.bsky.social/post/3lim42jocwc2r,0,0,0,0,0,0,0,0,la espera infinita: yo esperando conocer a Hugh Grant 😔,replied_to,674
13,0,Directed,70,,2,2024-12-31,"<[2024-12-31, 2024-12-31]>",https://bsky.app/profile/loladelgallego.bsky.social/post/3lemojyjirk2v,0,0,0,0,0,0,0,0,"maravillosas siempre y preciosísima carta, qué alegría que, a pesar de las condiciones de pensamiento aceleradas, punzadas exista y lo haga con tanta dignidad y hermosura. muy feliz año a las dos (la primera montañita es de Inés y la segunda de Paula?) besos 🍒💌🌟",replied_to,682
14,14,Directed,72,,1,2025-01-31,"<[2025-01-31, 2025-01-31]>",https://bsky.app/profile/eden-el-rayito.bsky.social/post/3lgzriudgek2x,0,0,0,0,0,0,0,0,"Y desde octubre llevo esperando este momento. Ha costao conseguirlo, viene de México, pero la espera lo merece. Me fío de @punzadas.bsky.social, lo merece ♥️",replied_to,678
20,0,Directed,73,,1,2024-11-17,"<[2024-11-17, 2024-11-17]>",https://bsky.app/profile/jorxrubio.bsky.social/post/3lb5c25m5j22j,0,0,0,0,0,0,0,0,ya estamos todas 🙂‍↕️,replied_to,701
21,0,Directed,74,,1,2024-12-04,"<[2024-12-04, 2024-12-04]>",https://bsky.app/profile/carodelolmo.bsky.social/post/3lcipfc6mq22n,0,0,0,0,0,0,0,0,El mío es bastante humillante. Asegura que he estado escuchando música para adolescentes y Don Omar por encima de mis posibilidades.,replied_to,683
21,620,Directed,75,,1,2025-01-27,"<[2025-01-27, 2025-01-27]>",https://bsky.app/profile/carodelolmo.bsky.social/post/3lgqwojqs222s,0,0,0,0,0,0,0,0,Esto venía yo a decir (o tararear),replied_to,1242
